Country,Year,Inflation Index
Tajikistan,2006,64.76018274
Tajikistan,2007,73.27557994
Tajikistan,2008,88.27547358
Tajikistan,2009,93.9676834
Tajikistan,2010,100
Tajikistan,2011,112.431549
Tajikistan,2012,118.9876193
Tajikistan,2013,124.9484784
Tajikistan,2014,132.5758678
Tajikistan,2015,140.1519947
Tajikistan,2016,148.5675345
Tajikistan,2017,
Viet Nam,2002,49.75567576
Viet Nam,2003,51.35775376
Viet Nam,2004,55.34266931
Viet Nam,2005,59.92582917
Viet Nam,2006,64.35182315
Viet Nam,2007,69.69546308
Viet Nam,2008,85.80648676
Viet Nam,2009,91.85975557
Viet Nam,2010,100
Viet Nam,2011,118.6774771
Viet Nam,2012,129.4702633
Viet Nam,2013,138.0052744
Viet Nam,2014,143.6440318
Viet Nam,2015,144.9060936
Viet Nam,2016,149.6066051
Viet Nam,2017,
Yemen,2002,43.00711642
Yemen,2003,47.6658024
Yemen,2004,53.63122293
Yemen,2005,59.96574822
Yemen,2006,66.4689129
Yemen,2007,71.72335875
Yemen,2008,85.33376795
Yemen,2009,89.94841416
Yemen,2010,100
Yemen,2011,119.5435617
Yemen,2012,131.3609056
Yemen,2013,145.7691505
Yemen,2014,157.5833405
Yemen,2015,
Yemen,2016,
Yemen,2017,
