Country,Year,Type of event,Total affected,Total Damage
Nicaragua,2016,Storm,10570,0
Niger (the),2002,Storm,1253,0
Niger (the),2003,Flood,30000,0
Niger (the),2005,Drought,3000000,0
Niger (the),2006,Flood,46472,0
Niger (the),2007,Flood,57274,0
Niger (the),2008,Flood,32000,0
Niger (the),2009,Drought,7900000,0
Niger (the),2009,Flood,79129,0
Niger (the),2010,Flood,233226,0
Niger (the),2011,Drought,3000000,0
Niger (the),2011,Flood,41175,0
Niger (the),2012,Flood,530952,184115
Niger (the),2013,Flood,181029,64724
Niger (the),2014,Flood,165578,2000
Niger (the),2015,Drought,2588128,
Niger (the),2015,Flood,87037,
Niger (the),2016,Flood,126266,
Niger (the),2017,Drought,1131300,
Niger (the),2017,Flood,80225,
Nigeria,2002,Flood,200,0
Nigeria,2003,Flood,210000,2570000
Nigeria,2004,Flood,29900,0
Nigeria,2005,Flood,4004,147000
Nigeria,2006,Flood,13000,0
Nigeria,2007,Flood,55000,0
Nigeria,2009,Flood,150000,0
Nigeria,2010,Flood,1500200,30000000
Nigeria,2011,Flood,30915,4500000
Nigeria,2011,Storm,12,0
Nigeria,2012,Flood,7000867,500000000
Nigeria,2012,Storm,15000,1000000
Nigeria,2013,Flood,81506,0
Nigeria,2014,Flood,10000,0
Nigeria,2015,Flood,100420,25000000
Nigeria,2016,Flood,12000,0
Nigeria,2016,Storm,1000,0
Nigeria,2017,Flood,500,0
Pakistan,2002,Earthquake,155847,0
Pakistan,2002,Flood,4010,30000
Pakistan,2002,Storm,12,0
Pakistan,2003,Flood,1266243,0
Pakistan,2003,Storm,2557,0
Pakistan,2004,Earthquake,13148,0
Pakistan,2004,Flood,0,0
Pakistan,2005,Earthquake,5128309,5200000000
Pakistan,2005,Flood,7527043,30000000
Pakistan,2005,Storm,0,0
Pakistan,2006,Flood,8125,0
Pakistan,2007,Flood,2706,327118000
Pakistan,2007,Storm,1650000,1620000000
Pakistan,2008,Earthquake,75320,10000000
Pakistan,2008,Flood,290764,103000000
Pakistan,2009,Flood,75080,0
Pakistan,2010,Flood,20363496,9500000000
Pakistan,2010,Storm,4000,80000000
Pakistan,2011,Earthquake,1000,0
Pakistan,2011,Flood,5400755,2500000000
Pakistan,2012,Flood,5050564,2500000000
Pakistan,2013,Earthquake,200974,100000000
Pakistan,2013,Flood,1497782,1500000000
Pakistan,2014,Flood,2530673,2000000000
Pakistan,2014,Storm,82,0
Pakistan,2015,Earthquake,502675,0
Pakistan,2015,Flood,1577490,1000000
Pakistan,2016,Earthquake,142,0
Pakistan,2016,Flood,10762,2000000
Pakistan,2016,Storm,191,0
Pakistan,2017,Flood,60650,0
Pakistan,2017,Storm,113,0
Peru,2002,Drought,21500,0
Peru,2002,Flood,10868,0
Peru,2002,Storm,86682,0
Peru,2003,Flood,65462,0
Peru,2004,Drought,0,0
Peru,2004,Flood,7500,0
Peru,2005,Earthquake,2505,50000
Peru,2006,Drought,0,0
Peru,2006,Flood,15325,0
Peru,2007,Earthquake,658331,600000000
