Country,Year,Type of event,Total affected,Total Damage
Pakistan,2002,Storm,633,0
Pakistan,2003,Drought,7757,0
Pakistan,2003,Earthquake,21872,0
Pakistan,2003,Flood,142295,0
Pakistan,2003,Storm,882752,0
Pakistan,2004,Drought,4617,0
Pakistan,2004,Earthquake,11606,0
Pakistan,2004,Flood,40532,0
Pakistan,2004,Storm,2094,0
Pakistan,2005,Drought,675,0
Pakistan,2005,Earthquake,58523,0
Pakistan,2005,Flood,137873,0
Pakistan,2005,Storm,18474,0
Pakistan,2006,Drought,4461,0
Pakistan,2006,Earthquake,1193,0
Pakistan,2006,Flood,300839,0
Pakistan,2006,Storm,12129,0
Pakistan,2007,Drought,4604,0
Pakistan,2007,Earthquake,28084,0
Pakistan,2007,Flood,2618,0
Pakistan,2007,Storm,6819,0
Pakistan,2008,Drought,4799,0
Pakistan,2008,Earthquake,101300,0
Pakistan,2008,Flood,25379,0
Pakistan,2008,Storm,6253,0
Pakistan,2009,Earthquake,231,0
Pakistan,2009,Flood,24167,0
Pakistan,2009,Storm,461,0
Pakistan,2010,Earthquake,22659,0
Pakistan,2010,Flood,136736,0
Pakistan,2010,Storm,63735,0
Pakistan,2011,Earthquake,25482,0
Pakistan,2011,Flood,385947,0
Pakistan,2011,Storm,8477,0
Pakistan,2012,Earthquake,88383,0
Pakistan,2012,Flood,317193,0
Pakistan,2012,Storm,171696,0
Pakistan,2013,Earthquake,114914,0
Pakistan,2013,Flood,79639,0
Pakistan,2013,Storm,64912,0
Peru,2002,Earthquake,56,0
Peru,2002,Flood,7530,80000
Peru,2002,Storm,2218,8000
Peru,2003,Earthquake,1211,0
Peru,2003,Flood,5937,0
Peru,2003,Storm,436,160000
Peru,2004,Drought,0,0
Peru,2004,Flood,9140,0
Peru,2004,Storm,1711,0
Peru,2005,Earthquake,762,0
Peru,2005,Flood,312,0
Peru,2005,Storm,2048,0
Peru,2006,Drought,53558,0
Peru,2006,Earthquake,5000,0
Peru,2006,Flood,11178,0
Peru,2006,Storm,783,0
Peru,2007,Drought,0,0
Peru,2007,Earthquake,606489,0
Peru,2007,Flood,53759,0
Peru,2007,Storm,43564,0
Peru,2008,Earthquake,545,0
Peru,2008,Flood,39079,0
Peru,2008,Storm,971,0
Peru,2009,Earthquake,1238,0
Peru,2009,Flood,73531,0
Peru,2009,Storm,3479,0
Peru,2010,Flood,91422,0
Peru,2010,Storm,192,0
Peru,2011,Flood,7257,0
Peru,2011,Storm,9576,0
Peru,2012,Earthquake,1176,0
Peru,2012,Flood,158274,10000
Peru,2012,Storm,98,0
Peru,2013,Earthquake,1800,0
Peru,2013,Flood,222134,0
Peru,2013,Storm,6399,0
Sri Lanka,2002,Drought,159967,0
Sri Lanka,2002,Flood,133440,0
Sri Lanka,2002,Storm,7368,0
Sri Lanka,2003,Drought,187424,0
Sri Lanka,2003,Flood,517703,0
Sri Lanka,2003,Storm,45589,0
Sri Lanka,2004,Drought,2692319,0
Sri Lanka,2004,Earthquake,1076240,0
Sri Lanka,2004,Flood,243313,0
Sri Lanka,2004,Storm,4742,0
Sri Lanka,2005,Drought,31497,0
Sri Lanka,2005,Flood,289472,0
Sri Lanka,2005,Storm,18548,0
Sri Lanka,2006,Drought,51904,0
Sri Lanka,2006,Flood,348020,0
Sri Lanka,2006,Storm,57880,0
Sri Lanka,2007,Drought,107789,0
Sri Lanka,2007,Earthquake,65,0
Sri Lanka,2007,Flood,80949,0
Sri Lanka,2007,Storm,59313,0
Sri Lanka,2008,Drought,135292,0
Sri Lanka,2008,Flood,483512,0
Sri Lanka,2008,Storm,21692,0
Sri Lanka,2009,Drought,235238,0
Sri Lanka,2009,Earthquake,5,0
Sri Lanka,2009,Flood,452237,0
Sri Lanka,2009,Storm,36081,0
Sri Lanka,2010,Drought,13395,0
Sri Lanka,2010,Flood,1158167,0
Sri Lanka,2010,Storm,13769,0
Sri Lanka,2011,Drought,68459,0
Sri Lanka,2011,Flood,2502148,0
Sri Lanka,2011,Storm,43706,0
Sri Lanka,2012,Drought,892383,0
Sri Lanka,2012,Flood,159654,0
Sri Lanka,2012,Storm,197446,0
Sri Lanka,2013,Drought,78234,0
Sri Lanka,2013,Flood,450635,0
Sri Lanka,2013,Storm,43312,0
Viet Nam,2005,Storm,98,0
Viet Nam,2006,Flood,31675,0
Viet Nam,2007,Flood,2388454,0
Viet Nam,2007,Storm,405457,0
Viet Nam,2008,Flood,209973,0
Viet Nam,2008,Storm,0,0
Viet Nam,2009,Flood,0,0
Viet Nam,2009,Storm,0,0
Viet Nam,2010,Storm,0,0
Yemen,2004,Earthquake,3,0
Yemen,2004,Storm,12,0
Yemen,2005,Flood,0,0
Yemen,2005,Storm,39,0
Yemen,2007,Flood,43,0
Yemen,2007,Storm,190,0
Yemen,2008,Flood,5539,0
Yemen,2008,Storm,33,0
Yemen,2010,Earthquake,6,0
Yemen,2010,Flood,7,0
Yemen,2011,Storm,2,0
Yemen,2013,Flood,6,0
